# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=irish,Gaeilge
	ICON=Icons/irish.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		Sábhálann an cluiche seo go huathoibríoch
	AUTOSAVING_DESC_NS=
		Ná cas an consól as nuair
		atá an íocón seo ar taispeáint
	AUTOSAVING_TITLE_PS4=
		Sábhálann an cluiche seo go huathoibríoch
	AUTOSAVING_DESC_PS4=
		Ná cas an consól as nuair
		atá an íocón seo ar taispeáint
	AUTOSAVING_TITLE_XB1=
		Sábhálann an cluiche seo go huathoibríoch
	AUTOSAVING_DESC_XB1=
		Ná cas an consól as nuair
		atá an íocón seo ar taispeáint
	AUTOSAVING_TITLE_PC=
		Sábhálann an cluiche seo go huathoibríoch
	AUTOSAVING_DESC_PC=
		Ná cas do ríomhaire as nuair
		atá an íocón seo ar taispeáint

# Main Menu
	MENU_DEBUG=		~DÍFHABHTAIGH~
		Agus feicim mé féin mar ghrianghrafadóir{n}atá ag teacht i gcrann.
		
		[MADELINE right normal]
		Ó dáiríre? Sin iontach!
		An bhfuil blag agat nó rúd éigin?
		
		[THEO left thinking]
		Blag?
		{+MADELINE}.
		Úsáideann cách as {# FFFF4C}InstaPix{#} anois.
		
		[THEO left excited]
		Táim {+THEO_UNDER_STARS}, cuardaigh dom!

	CH1_THEO_E=
		[THEO left normal]
		Tá an tír-raon seo an-dheacair,{n}an bhfuil tú ag dul ar ais go luath?
		
		[MADELINE right normal]
		Nílim. Táim ag dul go dtí an mullach.
		
		[THEO left excited]
		Tá díograis i do shúile!

		[THEO left normal]
		Tá sí inspioráideach.

		[MADELINE right distracted]
		Má tá a dhath le rá agat.

		[MADELINE right normal]
		Déarfainn gur féidir leat dul go dtí an mullach.

		[THEO left normal]
		B'fhéidir. 
		
		[THEO left thinking]
		Is cuma liom faoin mullach, LBI.

		[THEO left normal]
		{!}Ó!{/!} Ach chuala mé go bhfuil roinnt {~}fíor-{/~}{n}sheanfhothracha taobh thall den chathair.
		
		[THEO left excited]
		Mar an 18ú aois fíor. 

		[THEO left normal]
		Tá's agam go bhfuil sé dainséarach ach caithfidh mé iad a fheiceáil.

	CH1_THEO_F=
		[THEO left normal]
		Cad a ndeir tú roimh a dhéanann tú{n}rud éigin mífheagrach?

		[MADELINE right sad]
		Uh... "ná bris do loirgín ar stól nach bhfuil i do shlí?"

		[THEO left wtf]
		Ní hea..

		[THEO left excited]
		Ó cinnte...

		{trigger 0 Theo pumps his fist in the air}
		
		[THEO left yolo]
		{big}{~}Y{>> 0.5}OLO{>> 0.2}OOOOOOOO!!{>>}{/~}{/big}

	MEMORIAL=
		-- SLIABH CELESTE --
		Tá an leacht seo in onóir de na daoine
		go bhfuair bás agus iad ag dreapadh

	CH1_END=
		[MADELINE left distracted]
		Ugh, táim tuirseach traochta.

		{trigger 0 MADELINE sits down to rest. A bird swoops in, lands on her head, and goes to sleep}
		
		[MADELINE left deadpan]
		{>> 0.4}Seans gur botún é seo.

# *** Chapter 02 ***

	CH2_BADELINE_INTRO=
		{anchor top}
		
		[BADELINE left normal]
		A {+MADELINE}, a stór, moilligh.

		{trigger 0 Madeline turns around}
		
		[MADELINE right distracted]
		Cé atá ansin?
		
		[BADELINE left normal]
		Ó, nílim ach i mo bhreathnóir imníoch.

		{trigger 1 Badeline is revealed}
		
		[MADELINE right sad]
		An mise... thusa?

		[BADELINE left normal]
		Táim {+PART_OF_YOU}.

		[MADELINE right sad]
		Cén fáth go mbeadh cuma chomh {0.3}{*}lionraitheach{/*} ar Chuid Díom?

		[BADELINE left worried]
		...

		[BADELINE left angry]
		Seo í an chuma atá ormse, ceart go leor?
		Cuir suas leis.

		[MADELINE right distracted]
		Gabh mo leithscéal, ní raibh sé sin i gceist-

		[BADELINE left angry]
		Déan dearmad air.
		Ní chreidfeá an faoiseamh orm{n}lé héalú do cheann {~}faoi dheireadh{/~}.

		[BADELINE left upset]
		Ach féach, táim buartha fúinn.

		[BADELINE left normal]
		Tá caitheamh aimsire de dhíth orainn, ach é seo...
		
		[MADELINE right sad]
		Tá's agam go bhfuil sé ar mire, ach{n}is gá dom an {+mountain} seo a dhreapadh.

		{trigger 2 Badeline starts laughing}
		
		[BADELINE left scoff]
		Tá go leor rudaí ionat, a stór,{n}ach ní {~}sléibhteoir{/~} thú.

		[MADELINE right distracted]
		Cé a deir nach féidir liom?

		{trigger 3 Badeline stops laughing}
		
		[BADELINE left upset]
		Tá's agam nach bhfuil bua na réasúnaithe 'ad,{n}ach bí réasúnta.
		You have no idea what you're getting into.
		You can't handle this.
		
		[MADELINE right upset]
		That is exactly why I need to do this.
		Are you the weak {+PART_OF_ME}, or the lazy part?

		[BADELINE left upset]
		I'm the pragmatic part.
		
		[BADELINE left scoff]
		And I'm {~}trying{/~} to be diplomatic here.
		
		[BADELINE left serious]
		{s 4}Let's go home {.6}[BADELINE left serious_alt]together.

	CH2_DREAM_PHONECALL=
		[MADELINE_PHONE left distracted]
		Hello?
		
		[EX_PHONE right normal]
		{+MADELINE}?
		...are you calling from a payphone?

		[MADELINE_PHONE left distracted]
		Yeah.

		[MADELINE_PHONE left sad]
		No, wait... you called me.

		[EX_PHONE right normal]
		What are you talking about?
		
		[MADELINE_PHONE left distracted]
		It doesn't matter. I'm in trouble.
		I'm being chased by... someone.

		[MADELINE_PHONE left sad]
		I don't really understand what's going on,{n}but I know I'm in danger. I can feel it.
		
		[EX_PHONE right normal]
		{+MADELINE}, you only call me when you're{n}panicking in the middle of the night.
		You don't have to make up some{n}ridiculous story just to get my attention.
		
		[MADELINE_PHONE left angry]
		I'm not making it up!
		You always do this!
		
		[EX_PHONE right normal]
		{~}Shhh{/~} {0.5}it's alright, calm down.
		I'm sorry sweetheart.
		Talk to me.
		
		[MADELINE_PHONE left sad]
		I'm climbing {+celeste_mountain}.{n}I found this old mirror, and it shattered,{n}but part of me escaped, and...

		[MADELINE_PHONE left upset]
		...
		...I'm dreaming, aren't I?
		
		[EX_PHONE right normal]
		{+MADELINE}. Of course you're dreaming.
		I haven't spoken to you in months.
		Why would I start now?
		
		[MADELINE_PHONE left angry]
		Ugh! Why am I even climbing this stupid {+mountain}?

		{trigger 0 Badeline appears}
		
		[BADELINE right scoff]
		I'm wondering the same thing.
		
		[BADELINE right upset]
		It's time to give up and go home.

	# if the MADELINE has never met Theo before
	CH2_THEO_INTRO_NEVER_MET=
		[THEO left normal]
		Ho there, fellow explorer!
		
		[MADELINE right distracted]
		Oh... hi.

		{trigger 0 Madeline approaches}

		[THEO left normal]
		Did you also trek up here to scope out these old ruins?
		
		[MADELINE right sad]
		Uhh... no, I'm headed for the summit.
		
		[THEO left excited]
		Whoa, that's crazy!
		
		[THEO left normal]
		I'm {+ theo} by the way, an adventurer from a {>> 0.3}{~}far off land!{/~}{>>}
		
		[MADELINE right sad]
		...{0.2}
		
		[THEO left thinking]
		Not much of a talker, are you?
		
		[THEO left normal]
		Mysterious lone wolf type, I get it.{n}I'll just imagine some dark backstory for you.

	# if the MADELINE has met Theo, but never introduced herself
	CH2_THEO_INTRO_NEVER_INTRODUCED=
		[MADELINE right sad]
		Hey {+ theo}, sorry about earlier.{n}I'm {+MADELINE}.
		I've got a lot on my mind.
		
		[THEO left normal]
		Well this is a good place for it.
		Something about these ruins feels so introspective.
		It's really making me take a{n}look in the mirror, so to speak.
		
		[MADELINE right distracted]
		Yeah... I get that.

		[MADELINE right normal]
		So what "{>> 0.5}{~}far off land{/~}{>>}" do you hail from?
		
		[THEO left excited]
		Well, my inquisitive compatriot, I doth hail{n}from the {0.3}{~}mystical,{0.4} enigmatic{/~}{0.4} kingdom of...
		
		[THEO left normal]
		{0.4} Seattle.

		[MADELINE right normal]
		It sounds like a special place.

	# added to the start of the CH2_THEO_A if the MADELINE has met and introduced themselves to Theo
	# (if NEVER_MET and NEVER_INTRODUCED are skipped)
	CH2_THEO_A_EXT=
		[THEO left excited]
		Hey, {+MADELINE}!{n}You made it!

		{trigger 3 Madeline Approaches}

		{+ CH2_THEO_A}

	# normal conversation once introductions are out of the way
	CH2_THEO_A=
		[THEO left normal]
		Climbing up here was tough,{n}but totally worth it.
		
		[THEO left excited]
		Just look at these ruins!
		I took so many great pics, wanna see?
		
		[MADELINE right sad]
		Oh... [MADELINE right normal]sure.

		{trigger 0 Maddy walks to Theo}

		[MADELINE right normal]
		{+ theo}, these are great!
		
		[THEO left thinking]
		Maybe I'll finally hit a thousand followers with these.

		{trigger 1 Theo puts away phone}
		
		[THEO left normal]
		Oh! We need to formally commemorate this occasion...
		
		[THEO left excited]
		Take a selfie with me!
		
		[MADELINE right distracted]
		Uhh... I don't know if that's such a good idea right now...
		
		[THEO left normal]
		Come on, it's easy. Like this!

		{trigger 2 Theo takes a selfie with Maddy by surprise}
		
		[MADELINE right upset]
		...

	CH2_THEO_B=
		[THEO left normal]
		Sorry about that.
		Don't worry, I won't post that one.

		[MADELINE right distracted]
		...
		
		[MADELINE right sad]
		No, it's alright. You can post it.
		I'm just{.2} not... photogenic.
		
		[THEO left normal]
		{+MADELINE}, don't be so hard on yourself!
		No one looks good without a filter.

		{trigger 0 Add filter to selfie}
		
		[THEO left thinking]
		Casual, yet refined.

	CH2_THEO_C=
		[MADELINE right normal]
		What made you want to try photography?

		[THEO left normal]
		My grandpa was really into it.

		[THEO left thinking]
		Apparently he was semi-famous{n}in the photography world.

		[THEO left wtf]
		I don't know if I'll ever be that good at it.

		[THEO left normal]
		But it's nice to feel close to him.

	CH2_THEO_D=
		[THEO left excited]
		So you're determined to climb the entire {+mountain}?
		
		[MADELINE right normal]
		Yeah, I told myself I would.

		[MADELINE right sad]
		I'm done breaking promises to myself.
		
		[THEO left excited]
		Life goals! I dig it.
		
		[THEO left normal]
		I doubt I'll make it to the top like you,{n}but I'm not ready to turn back just yet.

	CH2_THEO_E=
		[THEO left wtf]
		Are you getting any data up here?
		
		[MADELINE right normal]
		I don't have a smartphone.
		
		[THEO left wtf]
		{+MADELINE}. I don't even know how to respond to that.

	CH2_END_PHONECALL=
		[MOM_PHONE right normal]
		Hello?
		
		[MADELINE_PHONE left distracted]
		Hey {+ mom}.
		
		[MOM_PHONE right normal]
		{+MADELINE}, what a nice surprise!
		How's your trip?
		
		[MADELINE_PHONE left distracted]
		It's okay, I'm just kind of... overwhelmed.
		
		[MOM_PHONE right concerned]
		Oh no, are you having another panic attack?
		Focus on your breathing honey, I'm here.
		What's going on?

	CH2_JOURNAL=
		There's a dusty old book open on the table.
		A poem is written on the faded page.

	CH2_POEM=
		An apparition{n}
		Not of this world{n}
		But because of it{n}
		Lurking out of frame{n}{n}
		Awake, my heart is a fortress{n}
		In dreams I am vulnerable

# *** Chapter 03 ***

	CH3_OSHIRO_FRONT_DESK=
		[OSHIRO right normal]
		Welcome! May I help you?

		[MADELINE left surprised]
		Are you... a ghost?
		
		[OSHIRO right worried]
		A ghost? Don't be silly.
		
		[OSHIRO right normal]
		I am the concierge of this fine establishment.

		[OSHIRO right worried]
		Welcome to{.3} {~}{>> .2}the world-renowned{/~}{>>}{n}{big}Celestial Resort Hotel!{/big}

		[OSHIRO right normal]
		{+ mroshiro}, at your service.
		
		[OSHIRO right sidehappy]
		{+thought}Two guests in one day!{n}Business is finally picking up!{+endthought}
		
		[OSHIRO right normal]
		How long will you be staying with us?
		
		[MADELINE left normal]
		Oh... I'm just passing through.{n}I'm climbing the {+mountain}.
		Do you have a back exit?
		
		[OSHIRO right worried]
		...a back exit?
		
		[OSHIRO right sideworried]
		{+thought}Just passing through? This will not do.{+endthought}
		
		[MADELINE left distracted]
		You know I can still hear you, right?
		
		[OSHIRO right nervous]
		...
		
		[OSHIRO right normal]
		In any case, our rear service door{n}is reserved for hotel staff only.

		[OSHIRO right worried]
		However, our top floor presidential suite{n}features a world-class view of the peak.

		[OSHIRO right normal]
		Yes, you'll be quite comfortable up there.
		
		[MADELINE left distracted]
		Maybe I could get on the roof from{n}there and climb down the back?
		
		[OSHIRO right sidehappy]
		{+thought}The presidential suite, marvelous idea {+ oshiro}!{+endthought}
		
		[OSHIRO right normal]
		What is your name, for our records?
		
		[MADELINE left normal]
		I'm {+MADELINE}. 
		
		[MADELINE left sad]
		But again, I'm really not interested in staying.

		{trigger 0 Camera zooms back out}
		
		[OSHIRO right normal]
		Right this way, {+MS_MADELINE}.

	CH3_GUESTBOOK=
		It appears to be a very old and dusty guestbook.
		Many of the pages are damaged or missing.
		The comments, however, are glowing...
		"We'll never forget our time here."
		"I've never felt more at peace. Thank you."
	
	CH3_OSHIRO_HALLWAY_A=
		[OSHIRO right normal]
		Please follow me closely, {+MS_MADELINE}.
		The elevator is just down the hall.
		
		[MADELINE left distracted]
		The hotel is in pretty rough shape...

		[MADELINE left sad]
		Is it really open for business?
		
		[OSHIRO right nervous]
		Of course we're open!

		[OSHIRO right worried]
		The Celestial Resort Hotel would never{n}close during prime tourism season!

		[OSHIRO right sideworried]
		{+thought}Rough shape? What did she mean by that?{+endthought}

		[OSHIRO right normal]
		Oh! Please allow me to carry your luggage.
		
		[MADELINE left sad]
		My bag?

		[MADELINE left normal]
		No thanks, I'll keep it.
		
		[OSHIRO right normal]
		Hmm. Very well.
		
		[OSHIRO right sidesuspicious]
		{+thought}What a peculiar guest.{+endthought}

	CH3_OSHIRO_HALLWAY_B=
		[OSHIRO right normal]
		{+MS_MADELINE}, I really must implore you to keep up.

		[OSHIRO right worried]
		I'm running a world-class establishment here.{n}I don't have time to wait around for meandering guests.
		
		[MADELINE left sad]
		You really don't have to wait for me,{n}I'm just looking for a way through this place.
		
		[OSHIRO right sideworried]
		{+thought}{+oshiro} you idiot, the customer is always right!{+endthought}
		{+thought}Business is finally picking up{n}and you lose your temper!?{+endthought}
		
		[OSHIRO right nervous]
		Oh... of course {+MS_MADELINE}!
		My sincere apologies, I was out of line.

		[OSHIRO right normal]
		Please, feel free to explore at your leisure.

	CH3_MEMO_OPENING=
		An old paper sticks out from amid the clutter...

	CH3_MEMO=
		{big}Attention hotel staff:{/big}{n}{n}
		It is my sad duty to inform you that the Celestial Resort Hotel will close indefinitely following this season, due to circumstances beyond our control.{n}{n}
		It was an honor to have served alongside you all, as we worked tirelessly to ensure that our guests enjoyed the most hospitable and memorable experience possible.{n}{n}
		I write this with a heavy heart. This hotel has become my home, its staff and patrons my family. I will miss you all dearly.{n}{n}
		-Mr\. Oshiro

	CH3_OSHIRO_CLUTTER0=
		[OSHIRO left worried]
		Argh! This clutter is out of control!

		{trigger 1 Oshiro paces to the left}

		[OSHIRO left worried flip]
		When did this happen!?

		{trigger 2 Oshiro paces back to the right}

		[OSHIRO left worried]
		I don't even know where to begin...
		
		[MADELINE right sad]
		{+mroshiro}, do you run this whole place by yourself?
		
		[OSHIRO left nervous]
		You're right {+MS_MADELINE},{n}I'll never sort this mess out alone.

		{trigger 0 Oshiro Collapses}
		
		[OSHIRO left drama]
		It's hopeless.

		[MADELINE right distracted]
		That's not what I meant...

		[MADELINE right sad]
		Just breathe, {+MROSHIRO}. Breathe.
		It's just a little spring cleaning.
		
		[MADELINE right distracted]
		Well, more than a little...
		
		[MADELINE right normal]
		But I can help!
		
		[OSHIRO left normal]
		You're too kind.
		
		[OSHIRO left drama]
		But I wouldn't even bother.
		It's a lost cause.

	CH3_OSHIRO_CLUTTER0_B=
		[MADELINE right normal]
		How long have you been running the hotel?

		[OSHIRO left normal]
		Oh, quite some time now.

		[OSHIRO left sideworried]
		{+thought}Business has been... slow.{+endthought}

		[MADELINE right sad]
		You must really love your work.

		[OSHIRO left normal]
		Oh yes, {+MS_MADELINE}.

		{trigger 0 Oshiro gets back up}

		[OSHIRO left normal]
		In the hotel business, our passion is{n}perfecting the delicate art of hospitality.

		[OSHIRO left worried]
		A truly great hotel lives{.2} {~}eternally{/~} in the{n}cherished memories of its satisfied guests.

		[MADELINE right normal]
		That's the spirit!
		Now let's get started on this mess.

	CH3_OSHIRO_CLUTTER1=
		[OSHIRO right normal]
		I haven't even begun cleaning and already{n}I feel a renewed lightness of spirit!
		That's the power of positive thinking!
		
		[MADELINE left distracted]
		Umm, actually...
		
		[MADELINE left normal]
		I cleared out some of the clutter for you.
		
		[OSHIRO right normal]
		Oh yes, thank you, {+MS_MADELINE}.
		But please, relax, and let the hotel staff handle it!
		
		[OSHIRO right sidesuspicious]
		{+thought}{+oshiro}, you fool. You're losing her.{+endthought}

		[OSHIRO right sideworried]
		{+thought}Guests don't want to spend their time cleaning!{+endthought}
		
		[MADELINE left distracted]
		Are you okay?
		
		[OSHIRO right nervous]
		Yes, of course.

		[OSHIRO right worried]
		This is the finest hotel you'll ever visit, you'll see!
		
		[OSHIRO right sideworried]
		{+thought}How could I let my problems pile up like this?{+endthought}

	CH3_OSHIRO_CLUTTER1_B=

		[MADELINE left sad]
		{+mroshiro}, it's okay if the{n}mess is making you anxious.

		[MADELINE left normal]
		I still can't stay the night, but I can help before I leave.

		[OSHIRO right sideworried]
		{+thought}She pities you, {+oshiro}. You're pathetic.{+endthought}

		[MADELINE left upset]
		...

	CH3_OSHIRO_CLUTTER2=
		[MADELINE left normal]
		It's looking a lot nicer in here!
		
		[MADELINE left distracted]
		Can you show me to the exit now?

		[OSHIRO right worried]
		But {+MS_MADELINE}, you've barely enjoyed the{n}myriad luxuries that our hotel has to offer!
		
		[OSHIRO right normal]
		We can talk more once I finish cleaning.

		[OSHIRO right worried]
		I'm very busy!

		[OSHIRO right sidesuspicious]
		{+thought}Yes... young people have no respect these days.{+endthought}
		
		[MADELINE left upset]
		...you're welcome, sheesh.

	CH3_OSHIRO_CLUTTER2_B=
		[MADELINE left angry]
		Do you want my help{.3} or not?

		[OSHIRO right sideworried]
		{+thought}It's over, {+oshiro}. She hates you.{+endthought}

		[MADELINE left upset]
		I{.3} don't... 

		[MADELINE left distracted]
		I'm sorry. 

		[MADELINE left sad]
		Your hotel is...  it's beautiful. Truly world class.
		I wish I could stay.

		[OSHIRO right serious]
		No need to humor me, {+MS_MADELINE}.
		I understand.

	CH3_OSHIRO_CLUTTER_ENDING=
		{anchor bottom}
		[OSHIRO left normal]
		There you are!
		You certainly have a knack for wandering off.
		
		[MADELINE right distracted]
		It was tough, but I sorted everything out for you.
		
		[OSHIRO left normal]
		The Celestial Resort Hotel extends its{n}gratitude for your assistance, {+MS_MADELINE}.
		Of course, the staff had the mess under control.
		
		[MADELINE right upset]
		Oh, sure. Yeah.
		
		[OSHIRO left sideworried]
		{+thought}How humiliating.{+endthought}
		
		[OSHIRO left worried]
		You must be eager to see your room!

		[OSHIRO left normal]
		It's just up the elevator and down the hall.
		
		[MADELINE right upset]
		Sure, what the heck. 
		Show me the presidential suite.
		It sounds lovely.
		
		[OSHIRO left sideworried]
		{+thought}Now's your last chance, {+oshiro}. Don't lose her now.{+endthought}

	CH3_THEO_NEVER_MET=
		[MADELINE left sad]
		Oh hey, are you... {0.2}a guest here?

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right worried]
		Wow, I am {~}{!}so{/!}{/~} happy to see another person right now.
		This place seriously gives me the creeps.
		
		[MADELINE left sad]
		There's definitely something strange about it.

		[MADELINE left normal]
		I'm {+MADELINE}, by the way.
		
		[THEO right normal]
		Oh, I'm {+theo}.
		
		[THEO right thinking]
		I'm all about spooky mysteries,{n}but this is getting too real.

		{+CH3_THEO_ESCAPING}

	CH3_THEO_NEVER_INTRODUCED=
		[MADELINE left normal]
		{+theo}! Are you a "guest" here too?

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right worried]
		Wow, I am {~}{!}so{/!}{/~} happy to see another person right now.
		I'm all about spooky mysteries,{n}but this is getting too real.
		
		[MADELINE left sad]
		There's definitely something strange about it.

		[MADELINE left normal]
		I'm {+MADELINE}, by the way.
		Sorry about being antisocial earlier,{n}I had a lot on my mind.

		{+CH3_THEO_ESCAPING}

	CH3_THEO_INTRO=
		[MADELINE left normal]
		{+theo}! Are you a "guest" here too?

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right worried]
		{+MADELINE}! I am {~}{!}so{/!}{/~} happy to see you right now.
		I'm all about spooky mysteries,{n}but this is getting too real.

		{+CH3_THEO_ESCAPING}

	CH3_THEO_ESCAPING=
		[MADELINE left sad]
		Have you talked to {+mroshiro}?

		[MADELINE left distracted]
		I think he could really use some help.

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right wtf]
		You {~}think?{/~} 
		He's a creepy old weirdo.
		I bet he's cleaning out a nook{n}to hide our bodies as we speak.

		{trigger 1 Theo goes back to prying off the vent cover}
		
		[THEO right worried]
		I'm gonna crawl through this vent,{n}it's blowing cold air in from outside.
		Come on!
		
		[MADELINE left sad]
		{+mroshiro}'s troubled, but...{n}I don't think he wants to hurt us.
		
		[MADELINE left normal]
		He just needs to clean up this mess.
		I want to help him.
		
		[THEO right worried flip]
		{+MADELINE}, that's very sweet, but this is dangerous.
		
		{trigger 2 Theo removes vent cover and it flies off. Theo falls down as it comes off, and gets back up}

		[THEO right worried]
		We need to get out of here and call{n}an expert on {0.2}{*}creepy old dudes{/*}.
		We aren't prepared for this.
		
		[MADELINE left distracted]
		I think I can get through to him.

		[MADELINE left normal]
		Go on ahead and I'll catch up with you later.
		
		[THEO right wtf]
		Man, you're more stubborn than my sister.
		I thought that was impossible.

		{trigger 3 Theo walks to Maddy}
		
		[THEO right serious]
		Take care of yourself.

		[MADELINE left normal]
		Thanks {+theo}. I'll see you outside.

	CH3_THEO_VENTS=
		{anchor bottom}
		[THEO right normal upsidedown]
		Man, it's a maze in here.
		How's it going with {+elcreepo}?
		
		[MADELINE left sad]
		I helped him clean up that huge mess,{n}but he was kind of a jerk about it.
		
		[MADELINE left upset]
		And he still thinks he can convince me to stay.
		
		[THEO right wtf upsidedown]
		{+MADELINE}, seriously.
		My bad idea radar is {~}off the charts{/~} on this one. 
		You should get out of here.
		
		[MADELINE left sad]
		If I disappear now, {+mroshiro} could have a meltdown.
		
		[MADELINE left distracted]
		And maybe I can actually do{n}something good.{.3} For once.
		
		[THEO right worried upsidedown]
		Forget your {~}karma{/~}, dude.

		[THEO right wtf upsidedown]
		I think that guy is going to melt down no matter what.

		[THEO right worried upsidedown]
		You have to think about your safety.
		
		[MADELINE left upset]
		{+theo}. I'll be okay.
		
		[THEO right thinking upsidedown]
		Yeah yeah, I didn't expect you to listen.

		[THEO right wtf upsidedown]
		See you on the outside, jailbird.

	CH3_OSHIRO_BREAKDOWN=
		{anchor top}
		[OSHIRO left sideworried]
		{+thought}This is it {+oshiro}, your last chance.{+endthought}

		{trigger 0 Oshiro paces}
		
		[OSHIRO right sidesuspicious]
		{+thought}You already ruined it.{n}Making a guest clean up your mess?{+endthought}
		{+thought}She'll never stay.{+endthought}

		{trigger 1 Oshiro paces}
		
		[OSHIRO left sideworried]
		{+thought}No, she's still here. There's still a chance!{+endthought}

		{trigger 0 Oshiro paces}
		
		[OSHIRO right sidehappy]
		{+thought}The presidential suite is the key.{n}It will surely impress her!{+endthought}

		{trigger 2 Oshiro falls to ground, spawns dust creatures}
		
		[OSHIRO left sideworried]
		{+thought}Get it together, {+oshiro}!{+endthought}

		{trigger 3 Enter Madeline}
		
		[OSHIRO left nervous]
		There you are, {+MS_MADELINE}!
		Follow me quickly! We're almost there.

	CH3_DIARY=
		{anchor bottom}
		It's {+MROSHIRO}'s diary.
		The final entry appears to be decades old...
		"As of today the hotel is officially closed. Charlotte organized the staff for a farewell hike up the mountain. Most of us have never seen the summit."
		"It seemed like a fitting goodbye, but when the time came, I couldn't bear to leave without looking around one last time. I told them to go on without me."
		"I will catch up with them soon, after{n}I double-check that everything is in order..."
		"I can't believe my time here is over.{n}What am I going to do now?"
		"Perhaps I'll stay one last night, so that{n}the hotel and I can have a proper goodbye..."

	CH3_OSHIRO_SUITE=
		{anchor bottom}
		[OSHIRO left normal]
		Here we are, our award-winning presidential suite!

		[OSHIRO left worried]
		Truly, it is the very definition of rustic luxury.

		[OSHIRO left normal]
		I'll stand back and allow you to soak in the majesty.
		I understand it can be a lot to handle.

		{trigger 3 Madeline walks around the room and looks around}
		
		[OSHIRO right nervous]
		So? What do you think?
		
		[MADELINE left sad]
		It's... uh, it's beautiful.
		The furniture looks expensive...

		[MADELINE left distracted]
		It's very... spacious.

		[MADELINE left sad]
		The colors are elegant.

		[MADELINE left normal]
		I can tell you put a lot of work into it.

		[OSHIRO right worried]
		{*}I knew it would impress you!{/*}

		[MADELINE left sad]
		Yeah.

		[MADELINE left distracted]
		...
		So, can I get on the roof from here?
		
		[OSHIRO right sideworried]
		{+thought}You imbecile, you're losing her!{+endthought}
		
		[OSHIRO right nervous]
		Oh err, I almost forgot to mention... 
		Valued guests such as yourself stay in{n}our finest accommodations at half price!
		
		[MADELINE left sad]
		I... don't want to stay.

		{trigger 0 Badeline appears in the mirror}
		
		[OSHIRO right serious]
		Please, {+MS_MADELINE}.
		Please stay.
		
		[MADELINE left upset]
		{+mroshiro}, I've already been sidetracked too long...

		{trigger 1 Badeline escapes the mirror}
		
		[BADELINE right normal]
		{+MADELINE}, sweetie, forget this loser.
		
		[OSHIRO left serious]
		Loser? {silent_trigger 6}
		
		[BADELINE right upset]
		You're in denial, old man. 
		This resort is a {*}{!}dump{/!}{/*}{0.3}.

		[BADELINE right yell]
		No one would {*}{!}ever{/!}{/*} want to stay here.
		
		[BADELINE right scoff]
		Someone had to say it.

		{trigger 4 Madeline steps closer to Oshiro}
		
		[MADELINE left sad]
		She doesn't mean that.
		
		[OSHIRO right serious]
		I... 

		[OSHIRO right lostcontrol]
		I'm very busy.
		Please leave, {+MS_MADELINE}. {silent_trigger 5 Madeline jumps back}
		
		[BADELINE right upset]
		Come on {~}{+MS_MADELINE}{/~}, you heard the man.

		{trigger 2 Badeline blasts a hole in the ceiling}
		
		[BADELINE left normal]
		Where would you be without me?

	CH3_OSHIRO_SUITE_SAD0=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}Why would she say my beautiful hotel is a dump?{+endthought}

	CH3_OSHIRO_SUITE_SAD1=
		{anchor bottom}
		[OSHIRO right sidesuspicious]
		{+thought}How dare she insult you like that.{+endthought}

	CH3_OSHIRO_SUITE_SAD2=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}What if she's right?{+endthought}

	CH3_OSHIRO_SUITE_SAD3=
		{anchor bottom}
		[OSHIRO right sidesuspicious]
		{+thought}Of course she's right.{n}You couldn't even clean up without her help.{+endthought}

	CH3_OSHIRO_SUITE_SAD4=
		{anchor bottom}
		[OSHIRO right lostcontrol]
